Batch,Result ID,identifier,lang_prof,gender,birth_year
USA_030,684,9onz9pxv8,100,2,01
TUR_023,686,cl3hvjsyb,67,1,00
TUR_023,689,cw9aleqmd,67,1,01
AUT_005,691,jhf67c0so,100,1,00
AUT_005,694,6ainj69tz,100,1,01
AUT_005,695,rm2x7co7b,100,1,99
DEU_020,699,ft06td0gc,100,1,99
AUT_005,700,he1touz14,67,1,98
AUT_005,701,3h8wyomwa,100,1,0NA
AUT_005,702,wzp4jaldm,100,4,98
AUT_005,703,5yp25p8jx,100,1,01
TUR_023,705,0llhllo8p,67,kp1,xx
TUR_023,706,p3pk6kaxj,100,1,00
TUR_023,708,rjt5v2vms,100,1,98
AUT_005,709,phxtmay4l,67,1,99
AUT_005,710,i2cjaxi1w,67,1,99
AUT_005,711,v22sc6c0p,67,2,00
AUT_005,712,skfichutq,100,2,97
AUT_005,713,dh260btel,100,2,99
AUT_005,714,pfvm6fvsa,100,2,01
AUT_005,721,qcngsd5bo,100,1,00
PSA_002,722,iy2w2a7h7,100,1,00
USA_030,723,hen609wlm,100,1,00
AUT_005,725,v2m2zbkp0,100,1,99
AUT_005,727,w2ypxzvpl,100,1,01
AUT_005,728,0vme0j90o,67,1,97
AUT_005,729,2sz7kxu76,100,2,00
AUT_005,730,0maz3iibc,67,1,02
AUT_005,731,f6i1u0usa,100,2,98
AUT_005,732,6unowinl6,100,1,02
AUT_005,733,2p2i6h5ab,100,2,7NA
AUT_005,734,lewhk6siu,67,1,99
AUT_005,735,pb3y5gx0r,100,NA,99
AUT_005,736,dmhhwpw6x,100,1,99
AUT_005,737,zjv46l41d,67,1,01
AUT_005,739,ptu27teoi,67,2,96
AUT_005,742,uwr4vb99a,67,2,01
AUT_005,747,j7g4wz289,67,1,99
AUT_005,748,gzglrc9b2,67,2,00
AUT_005,749,8bik4u1h2,100,1,97
AUT_005,750,a2xn7sr31,100,2,98
TUR_023,751,0zn3rlz1y,67,kp1,01
TUR_023,753,3mstjfhh8,67,kp1,01
DEU_020,754,zvgjur3su,100,2,95
AUT_005,758,3yw130i6h,67,2,"NANA"
AUT_005,759,scs9h2qr1,100,1,00
AUT_005,760,jkyuwdm75,100,1,01
TUR_023,762,lsbmu9ec3,67,1,01
DEU_020,763,5r8xwf4sv,67,2,97
AUT_005,765,b9mcbzcrj,67,1,01
TUR_023,768,cjxw7rmst,67,2,00
DEU_020,769,n2jjrgfbp,100,1,97
AUT_005,770,1gnn4b8c5,67,1,01
AUT_005,771,yhwl44wj1,100,1,00
PSA_002,773,lkjxvpfnq,100,1,02
TUR_023,774,r0hnbip9h,67,1,00
TUR_023,777,xjhlexlob,100,kp2,01
PSA_002,778,7nd95xuil,100,kp1,02
TUR_023,781,3do088hw7,67,2,99
TUR_023,783,n28xxumms,67,1,00
AUT_005,784,mv387s6sw,100,1,97
TUR_023,785,1ovnyz73s,67,kp2,31
TUR_023,795,6lh3g05cu,100,kp1,00
AUT_005,797,603jk3r2y,100,1,99
DEU_020,800,e9eyeu9mc,100,1,98
TUR_023,801,l5ordq8w6,100,kp1,99
AUT_005,802,aosergdi1,100,1,99
TUR_023,803,cnie3x2cf,100,2,99
AUT_005,805,ho52q36gt,33,1,00
AUT_005,808,ootf6cge4,100,1,00
AUT_005,810,y0gug8pyd,100,1,00
AUT_005,811,tzi88ycki,67,1,99
AUT_005,812,nxrx1j2nu,100,1,01
AUT_005,813,dno6h8itc,100,1,01
TUR_023,821,kb7jijo9v,67,2,89
TUR_023,825,jy70arl10,67,2,94
PSA_002,827,3tru77x3f,100,2,01
USA_011,831,pdg0c6tbf,67,1,85
AUT_005,833,466curufv,100,1,95
NOR_002,836,kzh10bu1v,67,2,75
NOR_002,837,ggjat5dne,100,2,96
USA_030,842,d1r3z2ctm,100,1,01
TUR_023,846,2941ppgfr,67,1,00
TUR_023,857,1krt130tw,100,kp1,98
NOR_002,865,205ib538k,67,2,69
TUR_023,868,tspnmqr6s,100,1,00
USA_030,869,nvis2dh0p,67,1,00
USA_030,871,vxg9elxbw,100,1,00
USA_030,873,l5j3s7ifj,100,4,98
USA_030,874,uy64lv6w5,100,1,99
USA_030,875,cfbqzb3rq,67,1,98
USA_030,876,4y7tege8p,100,2,00
USA_030,877,ft9ehfq9a,100,2,99
USA_030,879,o9u867wk5,67,1,00
USA_030,902,odij4mpnw,100,1,00
USA_030,906,cpapen9jx,100,1,01
AUT_005,909,zb687tzqg,100,1,97
AUT_005,910,pumlb2tbw,100,1,98
TUR_023,912,yede5ur3o,67,kp1,99
AUT_005,913,wqyxcw9r9,100,1,98
AUT_005,914,zt3d563hl,67,2,98
AUT_005,917,3k1uu7x4s,67,1,99
AUT_005,919,e200cpioi,100,1,99
AUT_005,921,ljpknkkp1,100,1,99
AUT_005,922,8zqinvoj1,100,2,00
AUT_005,923,gzg3ct9o8,33,2,"NANA"
AUT_005,924,cipfsliro,100,1,97
AUT_005,926,wwqtth9vd,67,NA,99
AUT_005,927,yizn0g6od,100,1,97
TUR_023,932,941csuzz4,100,1,94
NOR_002,951,zhjzx3skw,100,1,96
AUT_005,953,f6i4mjxgx,100,1,00
NOR_002,955,zy11jsj3h,100,1,88
USA_011,959,i5t1wueyy,67,1,99
USA_011,960,pud6dtmwb,100,1,02
USA_011,961,pbqv4gnbr,100,2,01
USA_011,963,903i6fj07,67,1,01
USA_011,965,as3x9vs5q,100,2,01
AUT_005,969,isx7b0hto,100,1,01
AUT_005,981,fo6x0ms63,100,2,97
USA_011,984,odf9xlemt,100,1,01
AUT_005,986,o25twfvrw,100,1,90
AUT_005,988,q314cawbc,67,1,97
TUR_023,989,lkpsuo1sm,67,kp2,93
AUS_091,997,qftvidnj3,67,1,68
NZL_005,999,r1l9y7wdz,100,1,02
AUS_091,1000,q2j6eky3m,67,1,99
AUS_091,1001,l6z3fg6o8,100,1,81
AUS_091,1003,as11zw06j,67,1,03
AUS_091,1006,nhwpk9xj3,100,1,70
AUS_091,1012,gx2hcvxkw,67,1,02
AUS_091,1013,crlwn42i5,100,1,02
AUS_091,1014,ksvsjdte7,67,3,93
AUS_091,1015,47lh9zsc3,100,NA,68
AUS_091,1021,h711cflkq,67,2,00
AUS_091,1023,r58v85ocb,100,1,03
AUS_091,1025,q7zcmxp9l,100,1,03
AUS_091,1026,ews4dhnv0,100,1,91
NZL_005,1027,a8ninox6q,100,2,84
AUT_005,1030,6d4nfxxs3,67,2,01
AUS_091,1032,feopwl7wi,67,1,00
AUS_091,1033,v1lv1zpxh,100,1,71
AUS_091,1037,hxhm08kno,67,1,00
USA_011,1038,q47kyssy4,67,2,02
AUS_091,1039,z1v4kqclm,100,1,03
USA_011,1042,pok1s2pha,67,x,03
AUS_091,1044,re99p0m72,67,1,02
AUS_091,1045,tkh1d0z3r,100,1,87
USA_011,1047,2d6pir60f,100,4,02
AUS_091,1049,fb909qw11,100,2,99
AUS_091,1050,sq2uapp1a,67,2,21
AUS_091,1053,hczrkjt56,100,1,94
AUS_091,1054,qfsohjqr5,100,1,77
USA_011,1056,s4yyozsay,100,1,xx
AUS_091,1058,ew3e7hic2,100,2,74
AUS_091,1064,yun7qwxd6,67,1,03
AUS_091,1065,7n3bnj0f4,67,1,94
AUS_091,1067,iqjksugp3,100,1,02
AUS_091,1071,v2328wvsj,100,2,02
AUS_091,1072,9pjannmyy,67,2,55
AUS_091,1073,ahxunnx0c,100,2,91
AUS_091,1075,kf3qcmj6t,100,1,86
AUS_091,1076,grmpadwl5,100,1,02
AUS_091,1079,7tijqncae,67,NA,90
USA_011,1081,9cer3f2ty,100,kp1,22
AUS_091,1082,8toznghcb,67,1,97
AUS_091,1086,bxpaxrkjy,100,1,02
USA_011,1087,k37g8m1yh,100,kp2,99
TUR_023,1090,f7d8lf8os,100,2,95
USA_011,1092,bkqs2ea2x,100,space,02
USA_030,1093,6mpfz0dch,67,1,01
TUR_023,1099,woz6xykuz,100,2,86
USA_011,1101,94ejn6337,100,1,01
AUS_091,1103,gshntj2ny,100,1,02
USA_011,1104,otcgmqu50,67,2,02
AUS_091,1106,tmmu2pnr6,67,1,02
AUT_005,1111,16n2xri4a,33,1,00
AUT_005,1112,crkshlhrb,67,1,00
USA_011,1116,h6yrn5qy0,67,1,01
USA_011,1118,83q6bjvb5,67,1,02
USA_011,1119,fzp0f7s9w,100,1,01
AUT_005,1123,w3rc0kxcg,100,1,99
USA_011,1127,a4fys888u,67,1,01
USA_011,1128,bpri0wt2t,100,kp2,99
AUS_091,1131,0aj5w0ep0,67,1,02
AUS_091,1133,re30ideuw,67,1,01
USA_030,1135,dt8mssrei,67,1,01
USA_011,1138,1y96i9f45,67,2,99
AUT_005,1145,bazn787yd,100,1,00
USA_033,1169,fyytj5y1l,67,1,02
DEU_020,1171,krm533ltn,100,1,97
USA_011,1175,xn6xw19ph,100,2,02
USA_011,1176,wvlc9somf,67,2,01
AUS_091,1183,73maj8mo6,100,1,03
AUS_091,1184,45vn6b1wl,100,1,97
AUS_091,1185,evod7cjge,100,1,86
AUS_091,1186,r15xt0ufv,67,2,77
AUS_091,1189,lgvkd08s4,100,1,95
AUS_091,1192,ys8e8af45,100,2,02
AUS_091,1195,9479f4z0k,67,1,03
AUS_091,1197,erhwpue43,100,1,01
AUS_091,1202,kovan9lat,100,1,02
AUS_091,1206,114mfq7hx,67,NA,"NANA"
AUS_091,1207,7pj70zvus,100,1,02
AUS_091,1211,6awe3k1cj,100,1,02
AUS_091,1215,amgni3etz,100,1,02
AUS_091,1216,297ysgfyj,100,1,01
AUS_091,1217,eowajuric,67,1,02
AUS_091,1218,8nwh5agll,100,1,02
AUS_091,1219,ask7iktla,100,1,96
AUS_091,1220,gdee5524t,100,2,02
AUS_091,1221,enpenjayj,100,2,03
AUS_091,1227,y494zp8us,67,1,33
AUS_091,1228,lda5l587h,100,1,02
AUS_091,1229,i9w978skm,67,1,89
TUR_023,1230,rwlmwr10b,100,1,02
AUS_091,1231,zrq8n0pyq,100,1,02
AUS_091,1237,n1pa2ujo9,100,1,68
AUS_091,1238,53p4o9tj1,100,1,99
AUS_091,1245,vw1lukopv,100,1,94
AUS_091,1246,j54585w6x,67,1,02
AUS_091,1248,ptt0yr15e,67,1,00
AUS_091,1249,el9n2drya,100,2,02
AUS_091,1250,fmvav08hi,100,1,02
AUT_005,1255,w1iqlo4q4,100,1,95
AUS_091,1256,apty47gnc,67,1,03
AUT_005,1260,uukumobzn,100,1,01
USA_011,1261,9yw4cgai4,100,1,1x
AUS_091,1264,n5n65j1hk,100,1,02
AUS_091,1265,18h5nc950,67,1,01
AUS_091,1266,baidu6wpu,100,1,97
AUS_091,1271,5ievnd5dk,67,1,02
AUS_091,1273,7bd65yl2x,67,1,92
AUS_091,1275,c5f1k2rnv,67,2,02
AUS_091,1279,y5qklbdzj,67,1,98
AUS_091,1280,gdx684n23,100,2,02
USA_011,1285,qarfnunp4,100,1,01
AUS_091,1286,5hj3ewmfk,100,1,94
AUS_091,1290,hz75ch7kt,67,2,01
AUS_091,1291,nlv1ijcf1,100,2,86
AUS_091,1292,ww5g3v4c6,100,1,12
AUS_091,1295,610o1ycoj,67,1,93
AUS_091,1296,kqm6728cv,100,2,89
AUS_091,1298,boww8b10b,100,1,81
AUS_091,1300,8iaur5mhy,100,1,01
AUS_091,1301,di1lo2ua4,100,1,98
AUS_091,1304,ifhwzs460,67,1,94
AUS_091,1305,v75hw23yq,67,1,"NANA"
AUS_091,1306,y85r1kk82,100,1,02
AUT_005,1310,v4892pvni,100,1,98
AUS_091,1311,7g594vz5u,100,1,03
AUS_091,1312,u995k9dvu,67,1,02
AUS_091,1320,woslmg5gx,100,1,90
DEU_020,1326,v8l38rvp6,33,w,94
AUT_005,1328,1oj7638j0,100,1,00
TUR_023,1329,8lurie64f,100,1,00
AUS_091,1330,tlbbv3yz2,100,1,96
USA_011,1331,653rk7vx2,67,1,59
AUS_091,1334,upfv6i6zw,100,1,01
USA_011,1336,ct5i4sf6a,100,1,01
USA_011,1337,xa8mp03yw,100,1,01
AUS_091,1338,9o7v8qp6m,100,2,88
AUS_091,1341,zm44442b4,67,NA,86
AUS_091,1344,q5grv0qeb,67,1,03
AUS_091,1355,dold54i30,100,1,00
AUS_091,1362,5qr877kqk,100,2,79
AUS_091,1364,ezihms19c,100,1,02
AUS_091,1365,nihwbb0x2,100,1,82
AUS_091,1366,pa621fsbn,67,1,03
AUS_091,1369,ag9qlgr7u,100,1,02
AUS_091,1370,4yup9i72g,100,1,03
AUS_091,1371,w5rax6hwq,67,1,02
AUS_091,1373,btt0jn1ls,67,1,92
AUS_091,1375,a66gip6lj,67,1,02
AUS_091,1378,pin6sfv0f,67,1,03
AUS_091,1379,pk4reftqf,100,1,03
AUS_091,1385,juzoll2c2,100,1,7NA
AUS_091,1386,3rmasb21d,67,1,99
TUR_023,1390,zlnxqu3ur,100,kp1,01
AUS_091,1406,0f1y1vvyb,67,1,03
AUS_091,1407,gi5phnyt5,67,3,87
AUS_091,1408,2ue2fnv5q,100,1,86
AUS_091,1409,0vyffu8y8,100,1,89
AUS_091,1415,097voghn3,67,1,02
AUS_091,1416,5snduf3i2,67,1,03
AUS_091,1417,1wqm1qls1,100,1,"NA7"
AUS_091,1419,7obyfcyn8,75,NA,65
AUS_091,1426,40gw57jga,67,1,00
AUS_091,1427,28kk92kxz,100,1,02
AUS_091,1428,6dyzw17h1,100,1,"NA9"
AUS_091,1433,k5o4rzhk6,100,1,73
AUS_091,1435,etj4hdvp7,100,1,98
AUS_091,1436,iluc899jl,100,1,02
AUS_091,1437,2huykynlk,100,2,01
AUS_091,1438,me4sbzkn3,67,2,99
AUS_091,1440,kp72a3jrh,67,1,02
AUS_091,1441,k1z2el2dq,100,1,88
AUS_091,1443,svxvqv2ky,100,1,03
AUS_091,1446,v794q5ygy,100,1,02
AUT_005,1450,6b71ffljc,67,1,65
AUT_005,1452,3da55wenx,100,2,99
USA_033,1453,ra4oy1k67,100,2,01
USA_033,1454,d6t02xutw,100,2,09
AUT_005,1455,3834gldst,67,1,92
USA_033,1456,bdj1zfk6a,100,1,01
AUT_005,1458,2cr2ip3v2,100,2,01
AUS_091,1459,b5rnsej4i,67,2,89
AUT_005,1461,iujf4pano,100,1,00
USA_011,1463,ydo9sruai,67,2,99
AUS_091,1464,k4m4ctmhm,100,1,03
AUS_091,1466,gvhlhwavn,100,2,81
AUS_091,1468,afw4ox6vb,67,1,02
AUS_091,1472,uej0tdi9m,100,1,02
AUT_005,1480,2yr5pdrkw,100,2,02
AUT_005,1487,lq6n0cytp,67,1,00
AUS_091,1490,7insvo00g,100,1,02
AUT_005,1499,pvt3xkkrl,100,1,99
USA_033,1500,f7q5u7ga8,100,2,00
USA_011,1502,5kwdjqyvq,100,2,02
AUS_091,1504,lgybh4ls2,100,1,96
USA_011,1505,du0ku0wsv,100,1,01
AUS_091,1510,6r7elr5wx,67,1,"NANA"
AUT_005,1511,saufby5xz,100,1,01
AUS_091,1512,l9ya59tce,67,1,2NA
AUS_091,1516,yny7mvkwj,67,2,91
AUT_005,1525,4iingog8b,100,1,00
USA_011,1528,xmzt3ntcf,100,2,01
AUT_005,1534,yeornmwr2,67,1,01
AUT_005,1535,z80ly1vsu,67,1,99
AUT_005,1537,grhnhmiv5,100,2,"NA9"
AUT_005,1539,2fxo6gs0a,100,NA,00
USA_011,1540,0roqwyrih,100,2,01
AUS_091,1548,h1uoflb4f,100,1,02
AUT_005,1552,ptbdnyndv,67,1,97
AUS_091,1554,f3rsv4925,100,1,03
USA_011,1555,k8piw7av9,67,1,02
USA_011,1556,v8ixssmtp,100,2,02
AUT_005,1557,xr5tss9je,33,1,98
AUS_091,1558,w3367vowp,100,1,74
AUS_091,1559,au08hmlss,67,1,91
AUS_091,1563,k958v189t,100,1,01
NOR_002,1567,g81lkj7n4,100,1,96
USA_011,1569,x044wdhc2,100,1,01
AUS_091,1578,0hp4iyvzj,67,1,69
NOR_002,1583,7nik4e7rg,100,2,77
DEU_020,1584,pdd8mcpfn,67,1,99
USA_030,1585,k6yo1f40d,100,1,99
TUR_023,1592,dnvfmjdjg,100,1,91
TUR_023,1595,lv9zgrxxu,67,kp1,96
TUR_023,1599,cidmpa0k2,67,2,90
NOR_002,1603,x4t1ol4lr,67,2,85
DEU_020,1632,wbqwe9sw0,100,1,00
DEU_020,1638,xdt4yvunz,67,kp1,0x
USA_020,1639,gyyrxnteo,67,2,88
USA_020,1644,0g003cqd7,100,2,02
USA_020,1646,jkevdu7u4,100,1,02
USA_020,1647,fmon5o1ht,67,2,01
USA_020,1652,s5gg53b57,100,1,02
USA_020,1653,s4e0d5tgh,100,1,01
USA_020,1660,li16nmzyu,67,2,99
USA_020,1661,sjreixmm6,100,2,99
USA_020,1664,ou0kelkrk,100,1,01
USA_020,1666,ney9o4j8w,67,1,01
USA_020,1667,wb4qnnyph,67,2,01
USA_020,1670,d6mxld9p4,67,2,01
USA_020,1671,bsiv9u3a4,100,1,01
DEU_020,1676,glh73ej2o,100,1,88
USA_011,1677,bdycw4a30,100,2,01
USA_011,1679,1qw98ssum,100,1,02
USA_020,1683,5kl8a8boh,67,1,02
USA_020,1686,7e0iy7l9d,100,1,01
USA_020,1687,vihm7hqxc,67,NA,"NA2"
USA_020,1688,oq7b1y0lo,67,1,02
USA_020,1695,e95k4eukv,67,2,01
USA_020,1697,7qbqk8xn8,100,1,2NA
USA_020,1702,af89t8fzt,100,1,01
USA_020,1711,qgl50c2fz,100,2,02
USA_020,1712,gepa7om3w,100,1,02
USA_033,1715,cjg6xdx6x,67,2,99
USA_033,1716,37a3j75ww,67,1,99
USA_011,1722,xngygyy49,100,2,01
USA_020,1723,b1muwd928,67,1,00
AUS_091,1730,a5jnd3hng,100,1,76
USA_030,1743,tzcur4sot,67,1,01
USA_020,1762,yr87ubtfw,100,1,02
AUS_091,1769,grw6kktj8,100,1,91
USA_020,1770,ho35vv8m0,100,1,02
AUS_091,1784,vep5ot6st,67,1,99
USA_011,1786,25cjs2jus,67,1,02
USA_033,1789,q0x2ppfpz,67,1,00
USA_033,1792,y75haaug2,100,1,01
USA_033,1793,5txslyfqe,100,2,99
USA_033,1794,qpo1o1vb8,67,1,99
USA_011,1795,opzhycar3,67,1,01
USA_011,1798,am8qif8mh,100,x,xx
DEU_020,1807,dtu7u7l13,67,1,89
DEU_020,1808,ke96d4i3d,100,1,97
AUS_091,1821,a7t7gnqtr,100,1,81
USA_011,1824,m7xuuyv8k,100,1,00
AUS_091,1827,nv45qyk68,67,1,89
DEU_020,1836,2legtnkl0,67,2,99
USA_011,1837,imtz19sum,67,2,98
DEU_020,1842,nmaqpli1w,100,1,97
AUS_091,1844,7vwd54u8y,67,1,86
ARE_002,1875,p6ufmxevr,100,1,00
ARE_002,1884,ss0a0fwtz,100,1,02
ARE_002,1902,ykclztalb,100,1,00
ARE_002,1918,m28pv8xkk,100,1,01
DEU_020,1921,mj7m9bl89,33,1,96
ARE_002,1922,dih4mhv1q,100,2,02
ARE_002,1939,m2r0v5m52,100,2,96
ARE_002,2066,nymdhhsca,100,1,00
ARE_002,2084,xjtd9zks5,67,1,x1
ARE_002,2094,smrju5958,100,1,03
ARE_002,2101,emfmpx2yk,67,1,02
