SEED;SUBJID;Sequence;DATE;SIGN;round;Note;
9317;73;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;74;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;75;002_SP -> 002_PP -> 003;9.12.2019 17:20;PK;2;;
9317;76;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;77;003 -> 002_SP -> 002_PP;10.12.2019 9:50;PK;2;;
9317;78;002_SP -> 002_PP -> 003;9.12.2019 17:20;PK;2;;
9317;79;002_SP -> 002_PP -> 003;9.12.2019 17:20;PK;2;Wrong choice, Correct sequence;
9317;80;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;81;003 -> 002_SP -> 002_PP;10.12.2019 11:40;PK;3;;
9317;82;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;83;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;84;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;85;003 -> 002_SP -> 002_PP;18.12.2019 12:50;PK;3;;
9317;86;003 -> 002_SP -> 002_PP;18.12.2019 12:50;PK;3;;
9317;87;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;88;003 -> 002_SP -> 002_PP;18.12.2019 12:50;PK;3;;
9317;89;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;90;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;91;003 -> 002_SP -> 002_PP;18.12.2019 12:50;PK;3;;
9317;92;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;93;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;94;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;3;;
9317;95;003 -> 002_SP -> 002_PP;18.12.2019 14:50;PK;3;;
9317;96;002_SP -> 002_PP -> 003;18.12.2019 14:50;PK;3;;
9317;97;003 -> 002_SP -> 002_PP;18.12.2019 14:50;PK;3;;
9317;98;002_SP -> 002_PP -> 003;18.12.2019 14:50;PK;3;;
9317;99;003 -> 002_SP -> 002_PP;18.12.2019 14:50;PK;3;;
9317;100;002_SP -> 002_PP -> 003;18.12.2019 14:50;PK;3;;
9317;101;002_SP -> 002_PP -> 003;18.12.2019 12:50;PK;4;Back up substitute;
