SEED;SUBJID;Sequence;DATE;SIGN;round;Comments
6447;48;003 -> 002_SP -> 002_PP;2019.10.02;;1;
6447;49;002_SP -> 002_PP -> 003;2019.10.04;;1;
6447;50;002_SP -> 002_PP -> 003;2019.10.04;;1;
6447;51;003 -> 002_SP -> 002_PP;2019.10.04;;2;
6447;52;003 -> 002_SP -> 002_PP;2019.10.04;;2;
6447;53;003 -> 002_SP -> 002_PP;2019.10.04;;2;
6447;54;002_SP -> 002_PP -> 003;2019.10.04;;2;didnt finish qualtrics
6447;55;003 -> 002_SP -> 002_PP;2019.10.04;;2;
6447;56;002_SP -> 002_PP -> 003;2019.10.04;;2;
6447;57;003 -> 002_SP -> 002_PP;2019.10.04;;2;
6447;58;002_SP -> 002_PP -> 003;2019.10.04;;2;
6447;59;002_SP -> 002_PP -> 003;2019.10.04;;2;
6447;60;003 -> 002_SP -> 002_PP;2019.10.04;;2;
6447;61;002_SP -> 002_PP -> 003;2019.10.04;;2;
6447;62;002_SP -> 002_PP -> 003;2019.10.07;;2;
6447;63;003 -> 002_SP -> 002_PP;2019.10.07;;2;
6447;64;003 -> 002_SP -> 002_PP;2019.10.04;;2;
6447;65;003 -> 002_SP -> 002_PP;2019.10.04;;2;
6447;66;002_SP -> 002_PP -> 003;2019.10.07;;2;
6447;67;002_SP -> 002_PP -> 003;2019.10.07;;2;
6447;68;002_SP -> 002_PP -> 003;2019.10.07;;2;
6447;69;002_SP -> 002_PP -> 003;2019.10.07;;2;
6447;70;002_SP -> 002_PP -> 003;2019.10.07;;2;
6447;71;003 -> 002_SP -> 002_PP;2019.10.07;;3;
6447;72;003 -> 002_SP -> 002_PP;2019.10.07;;3;
6447;73;003 -> 002_SP -> 002_PP;2019.10.04;;3;
6447;74;003 -> 002_SP -> 002_PP;2019.10.07;;3;
6447;75;003 -> 002_SP -> 002_PP;2019.10.04;;3;
6447;76;003 -> 002_SP -> 002_PP;2019.10.04;;3;
6447;77;002_SP -> 002_PP -> 003;2019.10.07;;3;
6447;78;003 -> 002_SP -> 002_PP;2019.10.04;;3;
6447;79;003 -> 002_SP -> 002_PP;2019.10.07;;3;
6447;80;002_SP -> 002_PP -> 003;2019.10.07;;3;
6447;81;003 -> 002_SP -> 002_PP;;;3;
6447;82;002_SP -> 002_PP -> 003;2019.10.07;;3;
6447;83;003 -> 002_SP -> 002_PP;;;3;már volt
6447;84;003 -> 002_SP -> 002_PP;2019.10.07;;3;
6447;85;002_SP -> 002_PP -> 003;2019.10.07;;3;
6447;86;003 -> 002_SP -> 002_PP;2019.10.07;;3;
6447;87;002_SP -> 002_PP -> 003;;;3;
6447;88;003 -> 002_SP -> 002_PP;;;3;
6447;89;002_SP -> 002_PP -> 003;;;3;
6447;90;003 -> 002_SP -> 002_PP;2019.10.07;;3;
6447;91;002_SP -> 002_PP -> 003;2019.10.07;;4;
6447;92;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;93;002_SP -> 002_PP -> 003;2019.10.07;;4;
6447;94;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;95;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;96;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;97;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;98;002_SP -> 002_PP -> 003;;;4;
6447;99;002_SP -> 002_PP -> 003;2019.10.07;;4;SP crashed
6447;100;003 -> 002_SP -> 002_PP;;;4;
6447;101;002_SP -> 002_PP -> 003;2019.10.07;;4;
6447;102;002_SP -> 002_PP -> 003;2019.10.07;;4;
6447;103;003 -> 002_SP -> 002_PP;;;4;
6447;104;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;105;002_SP -> 002_PP -> 003;2019.10.07;;4;
6447;106;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;107;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;108;002_SP -> 002_PP -> 003;2019.10.07;;4;
6447;109;002_SP -> 002_PP -> 003;2019.10.07;;4;
6447;110;003 -> 002_SP -> 002_PP;2019.10.07;;4;
6447;111;002_SP -> 002_PP -> 003;2019.10.07;;5;
6447;112;002_SP -> 002_PP -> 003;2019.10.07;;5;
6447;113;002_SP -> 002_PP -> 003;2019.10.07;;5;
6447;114;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;115;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;116;002_SP -> 002_PP -> 003;2019.10.07;;5;
6447;117;002_SP -> 002_PP -> 003;2019.10.07;;5;
6447;118;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;119;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;120;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;121;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;122;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;123;003 -> 002_SP -> 002_PP;;;5;
6447;124;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;125;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;126;002_SP -> 002_PP -> 003;2019.10.07;;5;
6447;127;003 -> 002_SP -> 002_PP;2019.10.07;;5;
6447;128;002_SP -> 002_PP -> 003;2019.10.07;;5;
6447;129;003 -> 002_SP -> 002_PP;;;5;
6447;130;002_SP -> 002_PP -> 003;2019.10.07;;5;
6447;131;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;132;002_SP -> 002_PP -> 003;2019.10.07;;6;
6447;133;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;134;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;135;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;136;002_SP -> 002_PP -> 003;2019.10.07;;6;SP crashed
6447;137;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;138;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;139;003 -> 002_SP -> 002_PP;;;6;SP crashed
6447;140;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;141;002_SP -> 002_PP -> 003;2019.10.07;;6;
6447;142;002_SP -> 002_PP -> 003;;;6;
6447;143;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;144;002_SP -> 002_PP -> 003;2019.10.07;;6;
6447;145;002_SP -> 002_PP -> 003;2019.10.07;;6;SP crashed
6447;146;002_SP -> 002_PP -> 003;2019.10.07;;6;
6447;147;002_SP -> 002_PP -> 003;2019.10.07;;6;
6447;148;002_SP -> 002_PP -> 003;;;6;
6447;149;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;150;003 -> 002_SP -> 002_PP;2019.10.07;;6;
6447;151;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;152;002_SP -> 002_PP -> 003;2019.10.07;;7;SP crashed
6447;153;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;154;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;155;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;156;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;157;003 -> 002_SP -> 002_PP;;;7;
6447;158;003 -> 002_SP -> 002_PP;2019.10.07;;7;
6447;159;003 -> 002_SP -> 002_PP;2019.10.07;;7;
6447;160;003 -> 002_SP -> 002_PP;2019.10.07;;7;
6447;161;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;162;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;163;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;164;003 -> 002_SP -> 002_PP;;;7;
6447;165;002_SP -> 002_PP -> 003;;;7;
6447;166;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;167;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;168;003 -> 002_SP -> 002_PP;2019.10.07;;7;
6447;169;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;170;002_SP -> 002_PP -> 003;2019.10.07;;7;
6447;171;003 -> 002_SP -> 002_PP;2019.10.07;;8;
6447;172;002_SP -> 002_PP -> 003;;;8;
6447;173;003 -> 002_SP -> 002_PP;2019.10.07;;8;
6447;174;003 -> 002_SP -> 002_PP;;;8;
6447;175;002_SP -> 002_PP -> 003;2019.10.07;;8;SP crashed
6447;176;003 -> 002_SP -> 002_PP;;;8;
6447;177;003 -> 002_SP -> 002_PP;;;8;
6447;178;003 -> 002_SP -> 002_PP;2019.10.07;;8;
6447;179;002_SP -> 002_PP -> 003;2019.10.07;;8;
6447;180;002_SP -> 002_PP -> 003;2019.10.07;;8;
6447;181;003 -> 002_SP -> 002_PP;;;8;
6447;182;002_SP -> 002_PP -> 003;2019.10.07;;8;
6447;183;003 -> 002_SP -> 002_PP;;;8;
6447;184;002_SP -> 002_PP -> 003;2019.10.07;;8;SP crashed
6447;185;002_SP -> 002_PP -> 003;2019.10.07;;8;
6447;186;003 -> 002_SP -> 002_PP;;;8;
6447;187;002_SP -> 002_PP -> 003;2019.10.07;;8;
6447;188;002_SP -> 002_PP -> 003;2019.10.07;;8;
6447;189;002_SP -> 002_PP -> 003;;;8;
6447;190;002_SP -> 002_PP -> 003;;;8;
6447;191;003 -> 002_SP -> 002_PP;;;9;
6447;192;002_SP -> 002_PP -> 003;;;9;
6447;193;003 -> 002_SP -> 002_PP;;;9;
6447;194;002_SP -> 002_PP -> 003;;;9;
6447;195;003 -> 002_SP -> 002_PP;;;9;
6447;196;003 -> 002_SP -> 002_PP;;;9;
6447;197;002_SP -> 002_PP -> 003;;;9;
6447;198;003 -> 002_SP -> 002_PP;;;9;
6447;199;002_SP -> 002_PP -> 003;;;9;
6447;200;003 -> 002_SP -> 002_PP;;;9;
